,hashtag,18:01:04
0,맛집추천,"2,215,472"
1,먹방,"26,157,218"
2,맛스타그램,"41,637,003"
3,데이트,"14,608,878"
4,존맛,"3,863,862"
5,존맛탱,"2,903,367"
6,맛집탐방,"2,261,324"
7,맛있다그램,"4,554,392"
8,핫플레이스,"2,552,107"
9,스테이크,"2,201,815"
10,맛집,"24,466,933"
11,샤브샤브,"696,659"
12,맛집그램,"641,312"
13,혼밥,"2,121,080"
14,요리스타그램,"3,501,188"
15,먹스타그램,"74,444,761"
16,떡볶이,"2,742,214"
17,먹부림,"4,478,636"
18,오늘뭐먹지,"1,566,994"
19,럽스타그램,"38,355,718"
20,갬성,"1,848,961"
21,일요일,"6,399,246"
22,추억,"5,764,295"
23,휴식,"2,896,091"
24,드라이브,"3,860,141"
25,행복,"11,274,672"
26,친구랑,"958,533"
27,럽스타그램❤️,"501,161"
28,맛,"1,154,873"
29,먹팔,"197,549"
30,짬뽕,"1,001,610"
31,점심메뉴,"1,055,097"
32,육회,"971,538"
33,목살,"657,342"
34,먹스타,"6,144,838"
35,초복,"322,294"
36,족발,"1,221,133"
37,꿀맛,"2,480,109"
38,먹스타맞팔,"539,663"
39,서울맛집,"1,419,872"
40,먹방투어,"505,770"
41,칼국수,"704,136"
42,치맥,"1,642,303"
43,안주,"1,037,468"
44,맛있어,"2,157,997"
45,홈쿡,"3,677,341"
46,요리,"4,429,878"
47,볶음밥,"1,262,373"
48,청담,"2,800,898"
49,분위기깡패,"1,108,100"
50,루프탑,"801,079"
51,국내여행,"1,795,656"
52,뷰맛집,"293,039"
53,신촌,"2,031,590"
54,막걸리,"1,148,887"
55,양꼬치,"787,550"
56,해물파전,"309,057"
57,양갈비,"410,712"
58,닭발,"906,169"
59,연어,"1,295,713"
60,쌀국수,"1,004,062"
61,짬뽕맛집,"133,508"
62,야식스타그램,"776,994"
63,계란찜,"355,477"
64,오늘의점심,"347,597"
65,치킨스타그램,"315,653"
66,자취요리,"447,457"
67,샐러드,"1,881,456"
68,온더테이블,"4,099,869"
69,음식스타그램,"1,954,374"
70,고기,"3,057,472"
71,맛스타그램😋,"271,769"
72,수육,"522,160"
73,맛집스타그램,"2,136,695"
74,저녁메뉴,"1,623,388"
75,보쌈,"683,643"
76,저녁스타그램,"294,075"
77,일상,"216,455,306"
78,주말,"26,098,298"
79,부부,"2,477,753"
80,데일리,"128,707,213"
81,셀스타그램,"82,438,947"
82,고마워,"4,428,066"
83,비온다,"350,776"
84,새벽,"3,998,057"
85,퇴근길,"1,792,026"
86,혼자,"1,446,760"
87,느낌,"933,054"
88,금요일,"4,242,390"
89,평일,"1,169,909"
90,오늘도,"2,649,581"
91,수요일,"2,394,715"
92,퇴근후,"1,161,193"
93,덥다,"1,243,500"
94,휴무,"2,229,094"
95,추억팔이,"1,656,546"
96,친구들,"1,417,184"
97,쉬는날,"788,840"
98,즐거움,"858,514"
99,힐링,"13,112,639"
100,휴일,"2,383,736"
